SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21996,61,Carl Herrera,1610612759,SAS,San Antonio Spurs,0029601187,1997-04-20,SAS vs. HOU,L,40,8,20,0.4,0,0,null,3,9,0.333,5,9,14,1,1,1,0,6,19,-9,0
21996,17,Clyde Drexler,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,41,7,19,0.368,1,6,0.167,3,4,0.75,3,4,7,3,2,0,0,4,18,8,0
21996,246,Greg Anderson,1610612759,SAS,San Antonio Spurs,0029601187,1997-04-20,SAS vs. HOU,L,24,1,2,0.5,0,0,null,0,0,null,1,4,5,0,2,0,1,4,2,-12,0
21996,787,Charles Barkley,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,39,8,19,0.421,1,5,0.2,7,9,0.778,3,11,14,4,0,0,3,3,24,7,0
21996,1074,Matt Maloney,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,38,5,10,0.5,4,8,0.5,0,0,null,0,1,1,4,0,0,2,3,14,3,0
21996,422,Avery Johnson,1610612759,SAS,San Antonio Spurs,0029601187,1997-04-20,SAS vs. HOU,L,23,8,13,0.615,0,1,0.0,1,2,0.5,1,3,4,4,0,0,0,1,17,-6,0
21996,788,Kevin Willis,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,19,3,6,0.5,0,0,null,0,0,null,2,5,7,0,0,2,1,1,6,-2,0
21996,1122,Dominique Wilkins,1610612759,SAS,San Antonio Spurs,0029601187,1997-04-20,SAS vs. HOU,L,35,7,13,0.538,1,4,0.25,3,4,0.75,2,2,4,2,0,0,2,0,18,-8,0
21996,137,Vernon Maxwell,1610612759,SAS,San Antonio Spurs,0029601187,1997-04-20,SAS vs. HOU,L,11,1,3,0.333,0,2,0.0,0,0,null,0,1,1,2,0,0,1,1,2,8,0
21996,698,Eddie Johnson,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,33,1,8,0.125,0,3,0.0,5,5,1.0,3,3,6,1,0,0,2,1,7,2,0
21996,970,Othella Harrington,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,1,0,0,null,0,0,null,0,0,null,0,0,0,0,0,0,0,0,0,0,0
21996,9,Sedale Threatt,1610612745,HOU,Houston Rockets,0029601187,1997-04-20,HOU @ SAS,W,21,1,4,0.25,1,3,0.333,0,0,null,1,1,2,2,0,0,1,3,3,-5,0
21996,219,Vinny Del Negro,1610612759,SAS,San Antonio Spurs,0029601187,1997-04-20,SAS vs. HOU,L,42,5,12,0.417,0,0,null,1,2,0.5,1,5,6,3,0,0,1,4,11,-10,0
